id;vehicleId;userId;started;finished;start-lat;start-lng;finish-lat;finish-lng;duration;distance;price;discount
133381;1876;1862;31/10/2018 20:14;31/10/2018 20:23;40.43439102;-3.68183661;40.44993973;-3.68783379;393;2.480194807;3.4;0
133387;1927;14478;31/10/2018 20:15;31/10/2018 20:25;40.43412018;-3.71178508;40.45153046;-3.69052601;534;3.755295038;3.4;0
133390;1931;14488;31/10/2018 20:16;31/10/2018 20:22;40.40701675;-3.68978834;40.40529633;-3.67517805;235;1.517477632;3.4;0
133383;1836;21595;31/10/2018 20:18;31/10/2018 20:24;40.4366684;-3.69086671;40.43671417;-3.67702389;251;1.379432678;0;3.4
133385;1924;16880;31/10/2018 20:18;31/10/2018 20:37;40.44527817;-3.67843843;40.45350647;-3.66246653;1012;3.811708689;5.4;0
133392;386;21950;31/10/2018 20:20;31/10/2018 20:29;40.44064331;-3.69892001;40.42551804;-3.7118094;451;3.155318975;3.4;0
133386;1763;19029;31/10/2018 20:20;31/10/2018 20:37;40.44909286;-3.69060254;40.40342331;-3.67303824;884;7.094569206;0;3.4
133393;466;12545;31/10/2018 20:21;31/10/2018 20:36;40.42772675;-3.66909933;40.4239006;-3.70216966;786;3.622583866;3.4;0
133394;1724;7746;31/10/2018 20:23;31/10/2018 20:32;40.42684555;-3.71955919;40.42929077;-3.70920348;424;1.710560441;0;3.4
133401;1865;2098;31/10/2018 20:24;31/10/2018 20:42;40.43481064;-3.71960163;40.44788361;-3.66874623;976;5.744593143;5.4;0
133398;1754;2639;31/10/2018 20:25;31/10/2018 20:35;40.42728424;-3.70175648;40.43513489;-3.7098465;467;1.776091337;1.2;2.2
133403;1690;24120;31/10/2018 20:25;31/10/2018 20:25;40.42030716;-3.70509243;40.42030334;-3.70510197;-91;0.001215147;0;0
133405;1833;20580;31/10/2018 20:25;31/10/2018 20:47;40.39616394;-3.68106079;40.45295715;-3.70394588;1198;8.088717461;5.4;0
133395;1732;18600;31/10/2018 20:26;31/10/2018 20:34;40.44284821;-3.69101954;40.46179581;-3.68798637;314;2.264474154;3.4;0
133404;1729;2163;31/10/2018 20:27;31/10/2018 20:31;40.44338989;-3.7040031;40.43361664;-3.70454144;126;1.1535604;3.4;0
133400;1899;14179;31/10/2018 20:28;31/10/2018 20:35;40.43108368;-3.71840668;40.4365387;-3.71364546;319;1.443377256;3.4;0
133406;1748;7900;31/10/2018 20:29;31/10/2018 20:46;40.43536758;-3.67777276;40.4243927;-3.71163058;936;4.77670145;5.4;0
133409;1874;21139;31/10/2018 20:30;31/10/2018 20:49;40.42149734;-3.67983365;40.43195724;-3.71610188;1062;3.685185432;0;5.4
133399;429;6141;31/10/2018 20:30;31/10/2018 20:41;40.43770981;-3.71364379;40.43062973;-3.69698334;519;2.365423918;3.4;0
133397;474;9848;31/10/2018 20:31;31/10/2018 20:44;40.44828033;-3.70031357;40.43358612;-3.66926122;677;4.787307262;3.4;0
133396;516;10983;31/10/2018 20:31;31/10/2018 20:38;40.42029953;-3.70829916;40.43016434;-3.71188021;311;1.298967838;3.4;0
133402;387;2741;31/10/2018 20:32;31/10/2018 20:44;40.45669937;-3.67993808;40.43156815;-3.69505286;582;4.203117371;0;3.4
133408;1680;5594;31/10/2018 20:33;31/10/2018 20:44;40.44009018;-3.71406341;40.42697144;-3.70644093;535;2.347811222;3.4;0
133413;1832;16052;31/10/2018 20:34;31/10/2018 20:35;40.45080185;-3.70948672;40.45080185;-3.70948505;-106;0.000384813;0;0
133412;438;5718;31/10/2018 20:34;31/10/2018 20:41;40.42501831;-3.68026805;40.43729782;-3.67770195;249;1.599368691;3.4;0
133416;487;9169;31/10/2018 20:35;31/10/2018 20:50;40.45671463;-3.66713381;40.42810822;-3.69799876;833;6.785687447;3.4;0
133418;409;16052;31/10/2018 20:35;31/10/2018 20:46;40.4512825;-3.70934844;40.4573822;-3.71179938;519;3.245854378;3.4;0
133410;1884;16605;31/10/2018 20:36;31/10/2018 20:42;40.42540359;-3.71221066;40.42957306;-3.7153089;290;1.1640172;3.4;0
133411;380;2015;31/10/2018 20:36;31/10/2018 20:50;40.44869232;-3.71185112;40.42600632;-3.67390323;729;5.548155785;3.4;0
133407;1831;17932;31/10/2018 20:36;31/10/2018 20:57;40.45918655;-3.65968251;40.4356308;-3.70553994;1119;6.548676968;5.4;0
133417;1711;10259;31/10/2018 20:37;31/10/2018 20:50;40.45078278;-3.71220827;40.43560028;-3.69472504;609;2.930097818;3.4;0
133415;1915;7944;31/10/2018 20:38;31/10/2018 21:02;40.42609024;-3.70511174;40.44292068;-3.67103076;1282;6.69806385;0;7.4
133420;1905;23842;31/10/2018 20:41;31/10/2018 21:00;40.47389984;-3.71395326;40.43372345;-3.70878649;1007;5.481798172;0;5.4
133428;1857;9839;31/10/2018 20:41;31/10/2018 20:50;40.42592621;-3.69059658;40.42401886;-3.67660975;384;1.515187383;3.4;0
133414;1729;3130;31/10/2018 20:42;31/10/2018 20:54;40.43362427;-3.70453072;40.46286392;-3.7055316;656;4.35013485;3.4;0
133425;1914;7333;31/10/2018 20:43;31/10/2018 21:00;40.41832352;-3.66911173;40.39424896;-3.70803165;899;6.388222218;3.4;0
133429;1904;13008;31/10/2018 20:43;31/10/2018 20:51;40.429245;-3.68971324;40.44153976;-3.70170474;375;2.194214106;3.4;0
133422;440;22544;31/10/2018 20:44;31/10/2018 20:54;40.43616867;-3.68059397;40.44736862;-3.6985836;513;2.745390177;0;3.4
133424;1913;18071;31/10/2018 20:44;31/10/2018 20:59;40.45471954;-3.70708823;40.45804214;-3.70118904;819;4.808098316;3.4;0
133433;1728;21455;31/10/2018 20:45;31/10/2018 21:08;40.4180603;-3.69944143;40.45087051;-3.70950675;1242;9.056558609;7.4;0
133439;1677;5160;31/10/2018 20:46;31/10/2018 20:56;40.40966797;-3.67349172;40.43478394;-3.67777801;464;3.526810408;0;3.4
133432;1727;19167;31/10/2018 20:47;31/10/2018 21:05;40.45832062;-3.67114019;40.42205048;-3.69695187;937;6.340361118;5.4;0
133426;1768;15488;31/10/2018 20:48;31/10/2018 21:02;40.44630051;-3.68911195;40.47784805;-3.71226358;719;5.131032467;3.4;0
133435;1886;23165;31/10/2018 20:48;31/10/2018 20:49;40.44322586;-3.70254493;40.44322586;-3.70254493;-67;0.000897715;0;0
